Author,Comment,Timestamp
@YN07-back,Leaving this here. Whenever someone likes this comment l'll come back to this lesson,2025-01-31T09:52:01Z
@Vijithagai,After watching this video I've finally understood that I'm not an overthinker. And I believe I'm stable 😅😅,2025-01-30T13:45:41Z
@hasinsadeque2804,This hit home. Thank you for the lesson...,2025-01-30T12:11:42Z
@shravanikadam3678,"People may attack you , criticise you , ignore you .people can crumble you up with their words, spit out you or even walk over you 
Just remember: whatever they say or do you always keep your value❤",2025-01-29T16:31:35Z
@chanpuiafanchun4068,"The topics is great ,but the explanation is zero😂😂😂",2025-01-29T16:19:16Z
@norisanurfadila2862,"at first I was interested in the title of the video, then I ended up crying because of the closing statement🥺 4 years ago but thank u for bringing this to us sir🤍",2025-01-29T10:16:19Z
@cabdiraxmaansulaymaan,'Do you want to be right ro to be happy?,2025-01-29T07:39:48Z
@DARCiusmercurY,"I'm aware this video is quite old, but I hope the speaker acknowledges that he is enough and he is amazing at what he does. Even this speech. The truths he acknowledges, his awareness in the situation, his transparency. Instead of assuring us of a sure fire quick way to improve, he's showing us reality. Thank you ",2025-01-28T22:26:05Z
@JoonaTuhkanen-z7i,No joo ku ei tää se juttu ollu,2025-01-28T14:58:18Z
@sristipoudel7763,Really enjoy your each n every word 🎉,2025-01-28T07:43:53Z
@meaneeve5857,Leaving this comment here so that I get reminded every time someone replies,2025-01-27T23:48:24Z
@HerrUnterhugel,"“In this world, Elwood, you must be oh so smart or oh so pleasant.” Well, for years I was smart. I recommend pleasant. You may quote me.  Harvey🐇",2025-01-27T16:50:31Z
@kylechristianmendoza3458,That ending was everything 🙏🏻,2025-01-27T08:52:32Z
@JyramaeDelPilar,Why am i still crying???😭,2025-01-27T00:29:57Z
@alejandrazapata486,One of the best speech that i have  ever hear👍🏻 thank you very much.,2025-01-27T00:18:16Z
@henriqueCarrieI,Thank you!,2025-01-26T21:20:39Z
@ProstutiAcharjee,❤❤❤ great,2025-01-26T10:00:25Z
@Kameleonic,"The only problem with this is it's excusing selfish, inconsiderate people and allowing them to be free from responsibility. ""You have no power over me"" equates to, ""I can do what I want regardless of others' feelings"".",2025-01-26T08:01:40Z
@donnajoseph2004,Beautifully said!,2025-01-26T03:02:40Z
@LizDuBruille,So helpful.,2025-01-25T19:38:33Z
@ovizithsutradhar-y5s,This is an educational story..His speak was really Gorgeous.... ❤,2025-01-25T18:10:03Z
@PhuongTran-q1q7x,This is how a speech should look like,2025-01-25T16:26:39Z
@sangamachamaria3375,Last one was amazing,2025-01-25T13:50:43Z
@aureliedossou7734,"❤
Great! Tysm for this precious reminder. In my opinion it is quite important to be happy than to be right.
❤",2025-01-25T11:21:20Z
@snigdhagupta.s,So meaningful. Thank you for this talk.,2025-01-25T09:46:21Z
@MUNUNUZIAllen,"Am so hearted,thats why i decided to take things personally",2025-01-24T07:38:54Z
@iiivy9,I feel like this is what I need at the moment!,2025-01-23T06:06:51Z
@niyatigosalia8050,LOVE IT! Thank you for this video!,2025-01-22T21:08:32Z
@calebholdsworth4476,"I'm paying for college when there's a better education for free on Youtube?
Yup. Oh well.",2025-01-22T18:42:54Z
@austinempundu6340,@Tabitha something to listen to👂,2025-01-22T17:21:35Z
@mazenkhalifa3285,❤❤❤❤❤,2025-01-22T16:16:15Z
@physicistluv,8:55,2025-01-22T10:13:33Z
@rizzbenamar3524,Great talk I had to turn off due to that high Creek in the background of the video,2025-01-22T08:16:20Z
@BestNflMemes,Once he gave his credentials I’ll give you a try,2025-01-22T03:18:32Z
@notme5543,"Speaker: how not to take things personally 

Michael Jordan: Meh",2025-01-21T16:59:22Z
@mehkuh9781,I’m just now getting here in 2025,2025-01-21T09:11:23Z
@SanjaySingh-ne9ku,Love it ❤,2025-01-21T06:39:32Z
@jamessikes5369,My tinnitus doest like this video 😢,2025-01-21T01:17:05Z
@MichalKos9,All I have are negative thoughts,2025-01-20T18:40:11Z
@thesage90,"""Don't take serious what the Gods made for fun""",2025-01-20T16:29:53Z
@manishrajput6551,"Your content is nice and meaningful, but there is a bip sound 🔊 which is irritating me. Because of that, I can't watch your full Video",2025-01-20T06:26:24Z
@kforest2745,There was never any reason to care in the first place it’s societal indoctrination in the blink of an eye it’s nonexistent,2025-01-19T20:25:50Z
@BonnieShadow33,"That last bit needs to be made into a short. ""People may crumple you with their words; they may spit you out or walk all over you. But you will still keep your value."" 💯",2025-01-19T19:26:17Z
@annavukmirovich1963,I want to watch this video but literally had to turn it off because of the persistent ringing sound in the background,2025-01-19T18:31:37Z
@prasadborse2161,"I agree with the whole video except that I won't take that crushed note, because in India we treat money as goddess laxmi, treating money like that is a kind of disrespect for us.",2025-01-19T18:07:54Z
@asimp1827,"Its like hes speaking to me... I teared up at the last bit, i didn't expect a video to effect me so much and in a good way at that! Thank you,",2025-01-19T17:15:05Z
@Priya-ks8ut,A lot of times the intention of the other person can be to annoy you. Sometimes they can be jealous of you and the more you laugh at their sarcasm the more they become comfortable to do more,2025-01-19T14:25:15Z
@doyochii127,"I literally take things personally and that took my peace and led to overthinking. But, after watching this video, I realized those mistakes. I will take this advice to improve myself and be happy by not taking things personally. Thank you!",2025-01-19T04:39:04Z
@EnglishTowardsC1-xp4uq,Like my comment so I can come back and whatch it again,2025-01-17T20:43:23Z
@leluyaa,"Thank YOU Frederik, God bless you!",2025-01-17T18:34:27Z
@JaimeRichardson-v3n,Did anyone else click on this because the thumbnail looked amazingly like Prince Harry at first glance?,2025-01-17T18:27:09Z
@Dynaceglobalnigeria,That part that says that is the spirit demon😂,2025-01-17T16:08:34Z
@zeynepishere5627,how not to take all this personally one. its not about me its about the other persons. two it is about me its like a coin flip. you will always keep your value,2025-01-17T09:22:27Z
@IvanaAybar,Who’s watching in 2025?,2025-01-17T06:24:55Z
@RahatKDP,Last message was the best. ❤❤,2025-01-17T04:26:32Z
@iamdipu02,"17 Jan 2025
Thanks ❤",2025-01-17T04:25:46Z
@basilrazzle6118,"I disagree, taking things personally is situational. I believe his attitude is what has allowed the fall of European nations by being beta males.",2025-01-16T23:32:26Z
@Insogna3572,"I believe you've kick-started my newfound love for ted talks sir,  this was amazing to listen to.  As well as a nice break from the chaos of scrolling.",2025-01-16T13:56:00Z
@patrickdempsey9706,Wow worst intro ever but nice talk,2025-01-16T10:55:43Z
@vello-g4j,what a lovely guy,2025-01-15T23:04:45Z
@sachaw.4236,A bit shallow...and what's with the fake British accent.,2025-01-15T15:52:43Z
@kaleemUllah-es7zi,I will watch in 2026😅,2025-01-15T04:04:54Z
@autumnsjourney7301,❤❤❤,2025-01-14T20:04:52Z
@omranju8a507,It's 2025. Is there anyone H,2025-01-14T12:44:28Z
@KrishnaDhingra-u9i,because its still you ❤,2025-01-13T18:09:00Z
@YourDome_,Boring,2025-01-13T11:09:58Z
@focused_sak,I like how he he is aggressively calm,2025-01-13T11:07:35Z
@AndromedonThanks,So good!,2025-01-13T06:37:48Z
@KirsySlane,Home,2025-01-12T22:42:00Z
@yinkyaw5545,"Thank you for sharing the wisdom, I needed it",2025-01-12T14:31:41Z
@sohelgayen7636,Good speech,2025-01-12T05:56:11Z
@thrissurdiary9583,I am more relieved to see the views for this video. Because its not just me.....,2025-01-11T14:32:39Z
@Heinzyvibes,You just saved my marriage. Thank you very much,2025-01-11T14:15:06Z
@LearnLanguagesDrAlex,Excellent tips!,2025-01-11T11:24:07Z
@varshavinod3592,Ending..✨,2025-01-11T08:47:44Z
@krishnaprasadpaila5466,Like my message and take me back to this lesson.,2025-01-11T07:09:39Z
@CoreyC68,I find myself asking what would he take personal?,2025-01-10T23:06:53Z
@fiatgoman9664,"You are not alone in your mental health journey—most of us face challenges that we don’t always talk about. Remember, reaching out for support is a sign of strength, and there’s a community of people who understand and care about you.",2025-01-10T18:43:27Z
@supriyakumari911,❤,2025-01-10T16:40:54Z
@michaelg1290,these basic things shd be taught from childhood at school.,2025-01-10T11:39:02Z
@scilor,Beeeeeeeeeeeeeeeeeeeeeeeeeeeeeep :(.,2025-01-10T07:30:17Z
@CheukLamTiffanyWong,"In summary, why we always take things personally is because we care too much of our own feelings and we expect everyone to be considerate and responsible for our feelings. What we can do is really start not only focusing on ourselves, but embrace an open heart with empathy to others. You are not the centre of the world, so it’s key to keep it in mind and you wont feel like you are a victim.",2025-01-10T00:56:51Z
@dangolden2051,You can take this personally...I can't stand your voice...I really tried powering through it...can't do it 8:44 is all I can handle.,2025-01-09T21:00:41Z
@misslatifa22,One of the best Ted talks ❤❤,2025-01-09T20:23:02Z
@Johnyrevvvv,"The ending was absolutely fire 
Literally the best one so far",2025-01-09T11:53:13Z
@Bilal_Ahmad11,2025?,2025-01-09T11:09:56Z
@SilverKnobsHMDT,"Don't takie it personally, but I hate your acting, making faces etc. so unnatural",2025-01-09T08:23:49Z
@kellyharper367,"Other people's behavior and words towards you... tells you about their feelings of inadequacies... not yours!
As Maya Angelou said... ""When a person tells you who they are... believe them.""",2025-01-08T20:20:59Z
@breatheeasily4013,The last part was beautiful.,2025-01-08T18:08:38Z
@nuharhysa,This is one of the best talks l’ve come across,2025-01-08T16:05:21Z
@norahm1116,What an ending 🙌🏽,2025-01-08T11:48:39Z
@himanihardiksharma5730,Well in India just become a wife then you will learn the hardway of how not to take things personally,2025-01-08T11:25:31Z
@WisdomWar-ph9fk,"""Wow, this video really opened my eyes! I’ve never thought about it this way before. Great content, keep it up!""",2025-01-08T11:04:43Z
@ThenuttyellaOG,I'm saving this in case I get offended at work...,2025-01-08T05:28:31Z
